VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
UAV1	1649991494230	0.226714	-5.54323e-08	22.4838	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991494577874900.png
UAV1	1649991494341	0.226714	-5.54323e-08	22.4299	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991494689121700.png
UAV1	1649991494437	0.226714	-5.54323e-08	22.3831	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991494788471100.png
UAV1	1649991494536	0.226714	-5.54323e-08	22.3348	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991494887038500.png
UAV1	1649991494644	0.226714	-5.54323e-08	22.282	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991494999492300.png
UAV1	1649991494743	0.226714	-5.54323e-08	22.2335	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495097544100.png
UAV1	1649991494851	0.226714	-5.54323e-08	22.1806	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495210729700.png
UAV1	1649991494950	0.226714	-5.54323e-08	22.1319	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495322290600.png
UAV1	1649991495049	0.226714	-5.54323e-08	22.0832	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495422182800.png
UAV1	1649991495160	0.226714	-5.54323e-08	22.0286	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495535031200.png
UAV1	1649991495262	0.226714	-5.54323e-08	21.9783	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495635547500.png
UAV1	1649991495361	0.226714	-5.54323e-08	21.9295	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495734205700.png
UAV1	1649991495460	0.226714	-5.54323e-08	21.8806	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495834550600.png
UAV1	1649991495559	0.226714	-5.54323e-08	21.8317	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991495934136000.png
UAV1	1649991495661	0.226714	-5.54323e-08	21.7813	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496034987600.png
UAV1	1649991495760	0.226714	-5.54323e-08	21.7323	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496135066400.png
UAV1	1649991495874	0.226714	-5.54323e-08	21.6759	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496249762800.png
UAV1	1649991495976	0.226714	-5.54323e-08	21.6489	1	0	0	-6.09563e-11	img_UAV1_0_0_1649991496350527600.png
